Vanaf;Tot;Werkelijk;Doelstelling;Prestatie;  ;Graaddagen;Per graaddag;
2019-03-01 00:00;2019-03-02 00:00;5,33500;7,43959;-28;;9,70;0,5500;
2019-03-02 00:00;2019-03-03 00:00;5,32800;6,18786;-14;;7,80;0,6831;
2019-03-03 00:00;2019-03-04 00:00;5,19900;4,21145;23;;4,80;1,0831;
2019-03-04 00:00;2019-03-05 00:00;4,57100;5,79258;-21;;7,20;0,6349;
2019-03-05 00:00;2019-03-06 00:00;4,60800;6,64903;-31;;8,50;0,5421;
2019-03-06 00:00;2019-03-07 00:00;4,99300;5,00201;-0;;6,00;0,8322;
2019-03-07 00:00;2019-03-08 00:00;4,48000;5,52906;-19;;6,80;0,6588;
2019-03-08 00:00;2019-03-09 00:00;5,14400;6,45139;-20;;8,20;0,6273;
2019-03-09 00:00;2019-03-10 00:00;5,57300;5,79258;-4;;7,20;0,7740;
2019-03-10 00:00;2019-03-11 00:00;5,31900;7,76900;-32;;10,20;0,5215;
2019-03-11 00:00;2019-03-12 00:00;7,04300;8,03252;-12;;10,60;0,6644;
2019-03-12 00:00;2019-03-13 00:00;6,80100;7,11019;-4;;9,20;0,7392;
2019-03-13 00:00;2019-03-14 00:00;6,89600;6,78079;2;;8,70;0,7926;
2019-03-14 00:00;2019-03-15 00:00;5,99200;6,18786;-3;;7,80;0,7682;
2019-03-15 00:00;2019-03-16 00:00;5,50000;5,33142;3;;6,50;0,8462;
2019-03-16 00:00;2019-03-17 00:00;5,19400;6,91255;-25;;8,90;0,5836;
2019-03-17 00:00;2019-03-18 00:00;4,80300;6,91255;-31;;8,90;0,5397;
2019-03-18 00:00;2019-03-19 00:00;5,23800;8,23016;-36;;10,90;0,4806;
2019-03-19 00:00;2019-03-20 00:00;5,94700;8,49368;-30;;11,30;0,5263;
2019-03-20 00:00;2019-03-21 00:00;4,80900;5,59494;-14;;6,90;0,6970;
2019-03-21 00:00;2019-03-22 00:00;4,46800;6,25374;-29;;7,90;0,5656;
2019-03-22 00:00;2019-03-23 00:00;4,18900;5,33142;-21;;6,50;0,6445;
2019-03-23 00:00;2019-03-24 00:00;3,88100;6,25374;-38;;7,90;0,4913;
2019-03-24 00:00;2019-03-25 00:00;5,25600;7,96664;-34;;10,50;0,5006;
2019-03-25 00:00;2019-03-26 00:00;5,43100;6,51727;-17;;8,30;0,6543;
2019-03-26 00:00;2019-03-27 00:00;5,16300;6,78079;-24;;8,70;0,5934;
2019-03-27 00:00;2019-03-28 00:00;4,19300;5,46318;-23;;6,70;0,6258;
2019-03-28 00:00;2019-03-29 00:00;3,94400;5,99022;-34;;7,50;0,5259;
2019-03-29 00:00;2019-03-30 00:00;3,97400;5,66082;-30;;7,00;0,5677;
2019-03-30 00:00;2019-03-31 00:00;3,33900;4,21145;-21;;4,80;0,6956;
2019-03-31 00:00;2019-04-01 00:00;3,51600;5,93004;-41;;7,48;0,4704;
2019-04-01 00:00;2019-04-02 00:00;4,82200;5,73988;-16;;7,12;0,6772;
2019-04-02 00:00;2019-04-03 00:00;3,86500;4,58038;-16;;5,36;0,7211;
2019-04-03 00:00;2019-04-04 00:00;4,68900;6,26692;-25;;7,92;0,5920;
2019-04-04 00:00;2019-04-05 00:00;5,16700;6,53044;-21;;8,32;0,6210;
2019-04-05 00:00;2019-04-06 00:00;5,11400;5,37094;-5;;6,56;0,7796;
2019-04-06 00:00;2019-04-07 00:00;4,32800;3,89522;11;;4,32;1,0019;
2019-04-07 00:00;2019-04-08 00:00;2,80600;1,52352;84;;0,72;3,8972;
2019-04-08 00:00;2019-04-09 00:00;2,32300;1,94516;19;;1,36;1,7081;
2019-04-09 00:00;2019-04-10 00:00;2,54400;4,42227;-42;;5,12;0,4969;
2019-04-10 00:00;2019-04-11 00:00;4,16200;6,31962;-34;;8,00;0,5203;
2019-04-11 00:00;2019-04-12 00:00;4,23900;6,26692;-32;;7,92;0,5352;
2019-04-12 00:00;2019-04-13 00:00;5,87000;6,68855;-12;;8,56;0,6857;
2019-04-13 00:00;2019-04-14 00:00;6,40500;7,95346;-19;;10,48;0,6112;
2019-04-14 00:00;2019-04-15 00:00;6,09400;6,58315;-7;;8,40;0,7255;
2019-04-15 00:00;2019-04-16 00:00;4,97800;3,89522;28;;4,32;1,1523;
2019-04-16 00:00;2019-04-17 00:00;3,38800;2,89384;17;;2,80;1,2100;
2019-04-17 00:00;2019-04-18 00:00;2,61000;2,78843;-6;;2,64;0,9886;
2019-04-18 00:00;2019-04-19 00:00;1,99500;1,04918;90;;0,00;0,0000;
2019-04-19 00:00;2019-04-20 00:00;1,26900;1,04918;21;;0,00;0,0000;
2019-04-20 00:00;2019-04-21 00:00;1,05800;1,04918;1;;0,00;0,0000;
