Vanaf;Tot;Werkelijk;Doelstelling;Prestatie;  ;Graaddagen;Per graaddag;
2019-07-01 00:00;2019-07-02 00:00;0,86200;1,04918;-18;;0,00;0,0000;
2019-07-02 00:00;2019-07-03 00:00;1,03800;1,04918;-1;;0,00;0,0000;
2019-07-03 00:00;2019-07-04 00:00;0,73200;1,57623;-54;;0,80;0,9150;
2019-07-04 00:00;2019-07-05 00:00;1,04700;1,04918;-0;;0,00;0,0000;
2019-07-05 00:00;2019-07-06 00:00;0,78000;1,04918;-26;;0,00;0,0000;
2019-07-06 00:00;2019-07-07 00:00;0,95200;1,04918;-9;;0,00;0,0000;
2019-07-07 00:00;2019-07-08 00:00;1,06200;2,10327;-50;;1,60;0,6637;
2019-07-08 00:00;2019-07-09 00:00;0,86700;2,20868;-61;;1,76;0,4926;
2019-07-09 00:00;2019-07-10 00:00;0,88300;1,73434;-49;;1,04;0,8490;
2019-07-10 00:00;2019-07-11 00:00;1,18600;1,73434;-32;;1,04;1,1404;
2019-07-11 00:00;2019-07-12 00:00;0,80100;1,04918;-24;;0,00;0,0000;
2019-07-12 00:00;2019-07-13 00:00;0,99600;1,04918;-5;;0,00;0,0000;
2019-07-13 00:00;2019-07-14 00:00;1,07000;1,04918;2;;0,00;0,0000;
2019-07-14 00:00;2019-07-15 00:00;1,37300;1,20730;14;;0,24;5,7208;
2019-07-15 00:00;2019-07-16 00:00;0,84600;1,31271;-36;;0,40;2,1150;
2019-07-16 00:00;2019-07-17 00:00;1,08100;1,20730;-10;;0,24;4,5042;
2019-07-17 00:00;2019-07-18 00:00;0,90600;1,04918;-14;;0,00;0,0000;
2019-07-18 00:00;2019-07-19 00:00;1,01300;1,04918;-3;;0,00;0,0000;
2019-07-19 00:00;2019-07-20 00:00;0,80200;1,04918;-24;;0,00;0,0000;
2019-07-20 00:00;2019-07-21 00:00;0,80800;1,04918;-23;;0,00;0,0000;
2019-07-21 00:00;2019-07-22 00:00;1,03200;1,04918;-2;;0,00;0,0000;
2019-07-22 00:00;2019-07-23 00:00;0,67600;1,04918;-36;;0,00;0,0000;
2019-07-23 00:00;2019-07-24 00:00;0,94500;1,04918;-10;;0,00;0,0000;
2019-07-24 00:00;2019-07-25 00:00;0,59500;1,04918;-43;;0,00;0,0000;
2019-07-25 00:00;2019-07-26 00:00;0,80200;1,04918;-24;;0,00;0,0000;
2019-07-26 00:00;2019-07-27 00:00;0,65900;1,04918;-37;;0,00;0,0000;
2019-07-27 00:00;2019-07-28 00:00;0,74300;1,04918;-29;;0,00;0,0000;
2019-07-28 00:00;2019-07-29 00:00;0,97500;1,04918;-7;;0,00;0,0000;
2019-07-29 00:00;2019-07-30 00:00;0,94800;1,04918;-10;;0,00;0,0000;
2019-07-30 00:00;2019-07-31 00:00;0,56900;1,04918;-46;;0,00;0,0000;
2019-07-31 00:00;2019-08-01 00:00;0,71300;1,04918;-32;;0,00;0,0000;
2019-08-01 00:00;2019-08-02 00:00;0,95500;1,04918;-9;;0,00;0,0000;
2019-08-02 00:00;2019-08-03 00:00;0,90800;1,04918;-13;;0,00;0,0000;
2019-08-03 00:00;2019-08-04 00:00;0,87200;1,04918;-17;;0,00;0,0000;
